39
63.317943573	127.753143311	73.3358764648	159.753646851
75.9221954346	215.893127441	86.0832977295	240.083786011
78.4595108032	204.270111084	88.1489105225	229.224121094
78.4595108032	204.270111084	88.1489105225	229.224121094
84.2092285156	39.8062553406	85.334564209	73.7527923584
84.563659668	23.4683017731	388.023895264	206.59324646
122.173377991	422.779693604	131.739059448	433.115264893
136.537185669	53.4054489136	137.842041016	79.2854156494
148.480010986	371.471252441	155.838485718	383.692565918
148.480010986	371.471252441	155.838485718	383.692565918
153.772918701	381.622528076	175.519012451	346.138305664
156.459671021	472.252288818	165.789123535	482.358428955
156.459671021	472.252288818	165.789123535	482.358428955
157.994689941	468.679382324	167.255325317	478.568115234
165.309356689	327.618682861	172.774124146	341.369720459
183.385147095	388.424346924	353.94543457	384.195159912
191.551559448	481.05380249	200.07019043	489.999206543
197.125518799	484.014343262	204.781768799	492.33996582
221.424942017	280.058929443	224.56791687	288.899688721
244.899902344	275.772003174	244.512512207	282.053985596
257.425872803	197.896682739	260.250946045	204.494338989
258.393218994	286.079498291	259.901672363	292.0987854
258.393218994	286.079498291	259.901672363	292.0987854
259.696166992	316.479553223	261.857727051	322.157073975
263.083099365	439.946685791	268.666320801	444.262054443
263.495574951	471.587158203	270.104370117	476.686584473
263.883514404	482.089630127	270.632110596	486.951171875
275.372924805	271.783630371	275.565612793	276.643890381
293.837188721	275.304107666	295.864746094	280.864227295
335.079467773	478.69833374	342.001556396	479.809112549
342.000823975	474.337738037	348.360534668	475.33102417
345.406280518	386.450744629	349.307434082	385.093536377
345.866027832	471.38583374	352.141235352	472.192687988
349.114196777	181.469924927	347.134368896	182.076675415
365.052703857	336.077484131	365.061584473	332.391448975
365.052703857	336.077484131	365.061584473	332.391448975
389.387084961	152.387802124	388.023895264	206.59324646
434.877471924	33.1329078674	424.708618164	25.600069046
440.013153076	209.367019653	438.138763428	199.309234619
